modelo,RMSE,std entre semillas,seg,vs. media
GradientBoosting (500),31877.445102397967,2456.102329161662,20.758838049005135,0.5901878273375425
RandomForest (400),33367.00161839589,1432.700502107025,7.862903159999405,0.5710382879009988
Ridge (alpha=10),47042.336787404085,10707.219134667523,0.9964177380024921,0.39523000717159407
ElasticNet,47257.52076782607,13070.71335426195,1.4862910120064043,0.3924636306864141
Media (DummyRegressor),77785.50084370938,43.779465105433815,0.8948229340021499,0.0
Mediana (DummyRegressor),79513.63242044089,50.41418061033921,0.812322892001248,-0.022216628523145543
