id,descripcion,train_rmse,val_rmse,val_std,gap,gap_ratio,epocas,seg,n_features,pre_config,model_config
it10,"hidden=(128, 64)",18028.4,32095.9,3371.8,14067.5,0.78,24.5,19.2,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.2, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it11,"hidden=(512, 256)",15544.5,32845.9,3127.3,17301.4,1.113,34.4,22.7,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [512, 256], ""dropout"": 0.2, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it12,"hidden=(256, 128, 64)",17189.8,32193.8,3512.7,15004.0,0.873,25.9,22.3,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [256, 128, 64], ""dropout"": 0.2, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it13,"hidden=(128, 64, 32)",19049.0,32378.1,4703.2,13329.1,0.7,37.3,26.0,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64, 32], ""dropout"": 0.2, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it14,dropout=0.1,13544.9,32191.8,3601.3,18646.9,1.377,37.8,23.0,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.1, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it15,dropout=0.35,21334.0,31827.0,3480.8,10493.0,0.492,37.4,23.5,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it16,dropout=0.5,25362.5,34576.9,1196.4,9214.4,0.363,32.5,21.4,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.5, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it17,dropout=0.65,26762.5,35288.5,987.9,8525.9,0.319,45.2,25.7,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.65, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it18,weight_decay=1e-05,21387.6,31905.4,3285.1,10517.8,0.492,35.3,22.3,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 1e-05, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it19,weight_decay=0.001,22196.0,31975.0,3370.8,9779.0,0.441,33.2,21.6,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.001, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
